a0ti1,b1to2,c2to5,d5to15,e15to100
1482.842039,2967.507532,8605.560732,4160.357015,1413.094105
1778.637739,3559.463069,10322.18782,4990.259581,1694.974951
4442.769751,8891.006757,25783.26846,12464.91182,4233.78057
5292.659741,10591.83299,30715.53818,14849.41533,5043.689941
14417.90899,28853.56508,83673.20466,40451.77456,13739.66821
8257.567535,16525.29851,47922.14742,23167.94256,7869.122215
9776.933429,19565.9007,56739.66791,27430.76874,9317.013929
8839.207495,17689.29445,51297.64919,24799.82732,8423.400603
12027.12425,24069.05243,69798.47339,33744.04218,11461.35102
14322.41587,28662.46128,83119.01785,40183.8532,13648.66729
12362.02901,24739.27423,71742.06684,34683.67153,11780.50116
9859.256287,19730.64776,57217.42215,27661.7388,9395.464147
10314.46065,20641.61686,59859.16486,28938.88809,9829.254733
7945.553274,15900.88588,46111.39719,22292.53621,7571.785763
6043.550757,12094.5394,35073.27515,16956.16124,5759.257459
11232.51539,22478.85652,65187.02338,31514.63881,10704.12225
9878.188141,19768.53478,57327.29167,27714.85518,9413.505407
7277.200726,14563.35802,42232.66574,20417.36529,6934.873929
7729.305765,15468.12466,44856.42178,21685.81893,7365.710993
5114.255546,10234.80498,29680.18347,14348.87357,4873.678256
6020.332603,12048.07451,34938.53042,16891.01896,5737.131536
6167.861459,12343.31384,35794.70253,17304.93497,5877.720323
9060.772561,18132.69734,52583.48463,25421.46387,8634.54278
5998.96226,12005.30752,34814.50931,16831.06102,5716.766499
6361.282832,12730.39469,36917.20826,17847.60984,6062.042747
3123.577097,6250.997465,18127.43762,8763.703969,2976.645523
4497.950135,9001.435455,26103.50348,12619.7293,4286.365153
1074.031275,2149.382741,6233.059612,3013.372452,1023.514663
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
4030.855525,8066.671221,23392.75664,11309.22,3841.243659
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
3985.134626,7975.173138,23127.41899,11180.94264,3797.673567
1643.483039,3288.987288,9537.828141,4611.061261,1566.178213
2313.85031,4630.547081,13428.25188,6491.88481,2205.009993
2259.788433,4522.356775,13114.50803,6340.205491,2153.491301
3286.964095,6577.972599,19075.64122,9222.112558,3132.346452
2465.223564,4933.479938,14306.73467,6916.586902,2349.26233
2303.037934,4608.90902,13365.50311,6461.548946,2194.706255
1383.986036,2769.673829,8031.857689,3883.000546,1318.888497
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
933.4703946,1868.087943,5417.325593,2619.006221,889.5660628
915.449769,1832.024507,5312.744309,2568.446448,872.3931655
141.1988895,282.5696113,819.4402129,396.1606723,134.5646816
429.4077528,859.3421357,2492.037688,1204.777144,409.2155917
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
262.8911145,526.1038697,1525.671471,737.5878457,250.5322475
958.5044544,1918.18688,5562.60879,2689.243315,913.4224676
478.3836693,957.3542601,2776.265568,1342.18698,455.8875776
218.5728155,437.412714,1268.473708,613.2457067,208.2987748
2695.063785,5393.443322,15640.59431,7561.440727,2568.290382
1542.260809,3086.418219,8950.392892,4327.065963,1469.717691
1674.428811,3350.916927,9717.419497,4697.884618,1595.668231
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
2156.805,4316.263132,12516.85178,6051.268852,2055.352426
315.5106463,631.4077103,1831.044786,885.2204328,300.6764454
5312.058414,10630.65422,30828.11686,14903.84144,5062.17606
4471.335072,8948.172565,25949.04505,12545.05644,4261.002118
3906.114865,7817.03634,22668.83403,10959.23995,3722.371063
6800.986108,13610.34254,39468.99165,19081.26834,6481.061452
9226.819758,18464.99615,53547.12648,25887.33607,8792.778767
9181.119004,18373.53838,53281.90575,25759.11523,8749.227873
9365.559146,18742.64572,54352.28961,26276.59181,8924.991562
9030.497914,18072.11078,52407.7881,25336.52346,8605.692317
8303.906287,16618.03306,48191.07073,23297.95341,7913.281094
11702.8917,23420.18819,67916.81532,32834.35546,11152.37106
3327.937318,6659.969484,19313.4261,9337.069545,3171.392208
5994.270567,11995.91836,34787.28144,16817.89771,5712.295513
5887.340387,11781.92636,34166.72055,16517.88784,5610.395555
